  wavelen [um]           Qsca     mus [1/cm]              g
      0.400000       3.664616     587.149300       0.928442
      0.410000       3.659951     586.401857       0.930513
      0.414000       3.659012     586.251467       0.931072
      0.420000       3.652206     585.161038       0.931454
      0.430000       3.619190     579.871200       0.931271
      0.440000       3.574467     572.705492       0.931186
      0.450000       3.535470     566.457435       0.931790
      0.460000       3.494466     559.887588       0.932525
      0.470000       3.440742     551.280044       0.932682
      0.480000       3.378886     541.369319       0.932172
      0.490000       3.319103     531.790741       0.931412
      0.500000       3.262937     522.791743       0.930757
      0.510000       3.205006     513.510071       0.930251
      0.520000       3.141900     503.399037       0.929799
      0.530000       3.075834     492.813960       0.929337
      0.540000       3.011333     482.479408       0.928873
      0.542000       2.998873     480.483137       0.928781
      0.550000       2.950468     472.727641       0.928403
      0.560000       2.891775     463.323668       0.927838
      0.570000       2.832489     453.824848       0.927031
      0.576000       2.795902     447.962880       0.926384
      0.580000       2.771083     443.986394       0.925882
      0.590000       2.708258     433.920473       0.924421
      0.600000       2.646159     423.970819       0.922830
      0.610000       2.586817     414.462984       0.921367
      0.620000       2.531027     405.524336       0.920247
      0.630000       2.478184     397.057608       0.919543
      0.640000       2.426890     388.839357       0.919163
      0.650000       2.375773     380.649306       0.918896
      0.660000       2.324045     372.361429       0.918487
      0.670000       2.271718     363.977440       0.917726
      0.680000       2.219458     355.604365       0.916498
      0.690000       2.168204     347.392298       0.914811
      0.700000       2.118816     339.479260       0.912779
      0.710000       2.071790     331.944674       0.910579
      0.720000       2.027205     324.801281       0.908405
      0.730000       1.984786     318.004899       0.906422
      0.740000       1.944040     311.476532       0.904738
      0.750000       1.904441     305.131897       0.903392
      0.760000       1.865526     298.896879       0.902362
      0.770000       1.826994     292.723235       0.901574
      0.780000       1.788728     286.592264       0.900927
      0.790000       1.750777     280.511659       0.900307
      0.800000       1.713309     274.508409       0.899612
